RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event,
255951,300186491,COL,PEKERMAN Jose (ARG),S,9,TEO,,O68',2014
255951,300186491,URU,TABAREZ Oscar (URU),S,16,M. PEREIRA,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),S,10,JAMES,,G28' G50' O85',2014
255951,300186491,URU,TABAREZ Oscar (URU),S,17,E. AREVALO RIOS,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),S,11,CUADRADO,,O81',2014
255951,300186491,URU,TABAREZ Oscar (URU),S,20,A. GONZALEZ,,O67',2014
255951,300186491,COL,PEKERMAN Jose (ARG),S,18,C. ZU�IGA,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),S,21,E. CAVANI,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),S,21,JACKSON M.,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),S,22,M. CACERES,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,12,VARGAS,GK,,2014
255951,300186491,URU,TABAREZ Oscar (URU),N,12,R. MU�OZ,GK,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,22,MONDRAGON,GK,,2014
255951,300186491,URU,TABAREZ Oscar (URU),N,23,M. SILVA,GK,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,4,ARIAS,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),N,4,J. FUCILE,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,5,C. CARBONERO,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),N,5,W. GARGANO,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,13,GUARIN,,I81',2014
255951,300186491,URU,TABAREZ Oscar (URU),N,8,A. HERNANDEZ,,I67',2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,14,IBARBO,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),N,11,C. STUANI,,I53',2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,15,A. MEJIA,,I68',2014
255951,300186491,URU,TABAREZ Oscar (URU),N,14,N. LODEIRO,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,16,A. BALANTA,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),N,15,D. PEREZ,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,17,BACCA,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),N,18,G. RAMIREZ,,I53',2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,19,RAMOS,,I85',2014
255951,300186491,URU,TABAREZ Oscar (URU),N,19,S. COATES,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,20,QUINTERO,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),N,9,L. SUAREZ,,,2014
255951,300186491,COL,PEKERMAN Jose (ARG),N,23,VALDES,,,2014
255951,300186491,URU,TABAREZ Oscar (URU),N,2,D. LUGANO,,Y77',2014
255951,300186508,NED,Louis VAN GAAL (NED),S,1,CILLESSEN,GK,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),S,13,G. OCHOA,GK,,2014
255951,300186508,NED,Louis VAN GAAL (NED),S,2,VLAAR,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),S,2,F. RODRIGUEZ,,,2014
255951,300186508,NED,Louis VAN GAAL (NED),S,3,DE VRIJ,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),S,3,C. SALCIDO,,,2014
255951,300186508,NED,Louis VAN GAAL (NED),S,5,BLIND,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),S,4,R. MARQUEZ,C,Y90',2014
255951,300186508,NED,Louis VAN GAAL (NED),S,6,DE JONG,,O9',2014
255951,300186508,MEX,HERRERA Miguel (MEX),S,6,H. HERRERA,,,2014
255951,300186508,NED,Louis VAN GAAL (NED),S,9,V. PERSIE,C,O76',2014
255951,300186508,MEX,HERRERA Miguel (MEX),S,7,M. LAYUN,,,2014
255951,300186508,NED,Louis VAN GAAL (NED),S,10,SNEIJDER,,G88',2014
255951,300186508,MEX,HERRERA Miguel (MEX),S,10,G. DOS SANTOS,,G48' O61',2014
255951,300186508,NED,Louis VAN GAAL (NED),S,11,ROBBEN,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),S,15,H. MORENO,,OH46',2014
255951,300186508,NED,Louis VAN GAAL (NED),S,12,VERHAEGH,,O56',2014
255951,300186508,MEX,HERRERA Miguel (MEX),S,18,A. GUARDADO,,Y90',2014
255951,300186508,NED,Louis VAN GAAL (NED),S,15,KUYT,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),S,19,O. PERALTA,,O75',2014
255951,300186508,NED,Louis VAN GAAL (NED),S,20,WIJNALDUM,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),S,22,P. AGUILAR,,Y69',2014
