Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,MatchID,Home Team Initials,Away Team Initials
1986,09 Jun 1986 - 12:00,Group C,Estadio Irapuato,Soviet Union,2,0,Canada, ,0,0,476,URS,CAN
1986,10 Jun 1986 - 12:00,Group A,Cuauhtemoc,Korea Republic,2,3,Italy, ,0,1,643,KOR,ITA
1986,10 Jun 1986 - 12:00,Group A,Estadio Ol�mpico Universitario,Argentina,2,0,Bulgaria, ,1,0,389,ARG,BUL
1986,11 Jun 1986 - 12:00,Group B,Bombonera - Estadio Nemesio Diez,Paraguay,2,2,Belgium, ,0,1,429,PAR,BEL
1986,11 Jun 1986 - 12:00,Group B,Estadio Azteca,Iraq,0,1,Mexico, ,0,0,627,IRQ,MEX
1986,11 Jun 1986 - 16:00,Group F,Tres de Marzo,Portugal,1,3,Morocco, ,0,2,675,POR,MAR
1986,11 Jun 1986 - 16:00,Group F,Tecnologico,England,3,0,Poland, ,3,0,537,ENG,POL
1986,12 Jun 1986 - 12:00,Group D,Jalisco,Northern Ireland,0,3,Brazil, ,0,2,441,NIR,BRA
1986,12 Jun 1986 - 12:00,Group D,Tecnologico,Algeria,0,3,Spain, ,0,1,378,ALG,ESP
1986,13 Jun 1986 - 12:00,Group E,Neza,Scotland,0,0,Uruguay, ,0,0,712,SCO,URU
1986,13 Jun 1986 - 12:00,Group E,Estadio Corregidora,Denmark,2,0,Germany FR, ,1,0,512,DEN,FRG
1986,15 Jun 1986 - 16:00,Round of 16,Nou Camp - Estadio Le�n,Soviet Union,3,4,Belgium,Belgium win after extra time ,0,0,432,URS,BEL
1986,15 Jun 1986 - 12:00,Round of 16,Estadio Azteca,Mexico,2,0,Bulgaria, ,1,0,463,MEX,BUL
1986,16 Jun 1986 - 16:00,Round of 16,Cuauhtemoc,Argentina,1,0,Uruguay, ,1,0,398,ARG,URU
1986,16 Jun 1986 - 12:00,Round of 16,Jalisco,Brazil,4,0,Poland, ,1,0,444,BRA,POL
1986,17 Jun 1986 - 12:00,Round of 16,Estadio Ol�mpico Universitario,Italy,0,2,France, ,0,1,568,ITA,FRA
1986,17 Jun 1986 - 16:00,Round of 16,Estadio Universitario,Morocco,0,1,Germany FR, ,0,0,574,MAR,FRG
1986,18 Jun 1986 - 12:00,Round of 16,Estadio Azteca,England,3,0,Paraguay, ,1,0,536,ENG,PAR
1986,18 Jun 1986 - 16:00,Round of 16,Estadio Corregidora,Denmark,1,5,Spain, ,1,1,511,DEN,ESP
1986,21 Jun 1986 - 12:00,Quarter-finals,Jalisco,Brazil,1,1,France,France win on penalties (3 - 4),0,0,440,BRA,FRA
1986,21 Jun 1986 - 16:00,Quarter-finals,Estadio Universitario,Germany FR,0,0,Mexico,Germany FR win on penalties (4 - 1),0,0,575,FRG,MEX
1986,22 Jun 1986 - 16:00,Quarter-finals,Cuauhtemoc,Spain,1,1,Belgium,Belgium win on penalties (4 - 5),0,0,421,ESP,BEL
1986,22 Jun 1986 - 12:00,Quarter-finals,Estadio Azteca,Argentina,2,1,England, ,0,0,392,ARG,ENG
1986,25 Jun 1986 - 12:00,Semi-finals,Jalisco,France,0,2,Germany FR, ,0,1,564,FRA,FRG
1986,25 Jun 1986 - 16:00,Semi-finals,Estadio Azteca,Argentina,2,0,Belgium, ,0,0,388,ARG,BEL
1986,28 Jun 1986 - 12:00,Match for third place,Cuauhtemoc,France,4,2,Belgium,France win after extra time ,0,0,422,FRA,BEL
1986,29 Jun 1986 - 12:00,Final,Estadio Azteca,Argentina,3,2,Germany FR, ,1,0,393,ARG,FRG
1990,08 Jun 1990 - 18:00,Group B,Giuseppe Meazza,Argentina,0,1,Cameroon, ,0,0,26,ARG,CMR
1990,09 Jun 1990 - 17:00,Group B,Stadio San Nicola,Soviet Union,0,2,Romania, ,0,1,342,URS,ROU
1990,09 Jun 1990 - 17:00,Group D,Renato Dall Ara,"rn"">United Arab Emirates",0,2,Colombia, ,0,0,119,UAE,COL
1990,09 Jun 1990 - 21:00,Group A,Stadio Olimpico,Italy,1,0,Austria, ,0,0,42,ITA,AUT
1990,10 Jun 1990 - 17:00,Group A,Comunale,USA,1,5,Czechoslovakia, ,0,2,355,USA,TCH
1990,10 Jun 1990 - 21:00,Group C,Stadio delle Alpi,Brazil,2,1,Sweden, ,1,0,75,BRA,SWE
1990,10 Jun 1990 - 21:00,Group D,Giuseppe Meazza,Germany FR,4,1,Yugoslavia, ,2,0,201,FRG,YUG
1990,11 Jun 1990 - 17:00,Group C,Luigi Ferraris,Costa Rica,1,0,Scotland, ,0,0,127,CRC,SCO
1990,11 Jun 1990 - 21:00,Group F,Sant Elia,England,1,1,"rn"">Republic of Ireland", ,1,0,161,ENG,IRL
1990,12 Jun 1990 - 17:00,Group E,Marc Antonio Bentegodi,Belgium,2,0,Korea Republic, ,0,0,57,BEL,KOR
1990,12 Jun 1990 - 21:00,Group F,Della Favorita,Netherlands,1,1,Egypt, ,0,0,151,NED,EGY
1990,13 Jun 1990 - 17:00,Group E,Dacia Arena,Uruguay,0,0,Spain, ,0,0,180,URU,ESP
1990,13 Jun 1990 - 21:00,Group B,San Paolo,Argentina,2,0,Soviet Union, ,1,0,30,ARG,URS
1990,14 Jun 1990 - 17:00,Group B,Stadio San Nicola,Cameroon,2,1,Romania, ,0,0,108,CMR,ROU
1990,14 Jun 1990 - 17:00,Group D,Renato Dall Ara,Yugoslavia,1,0,Colombia, ,0,0,120,YUG,COL
1990,14 Jun 1990 - 21:00,Group A,Stadio Olimpico,Italy,1,0,USA, ,1,0,265,ITA,USA
1990,15 Jun 1990 - 17:00,Group A,Comunale,Austria,0,1,Czechoslovakia, ,0,1,43,AUT,TCH
1990,15 Jun 1990 - 21:00,Group D,Giuseppe Meazza,Germany FR,5,1,"rn"">United Arab Emirates", ,2,0,198,FRG,UAE
1990,16 Jun 1990 - 17:00,Group C,Stadio delle Alpi,Brazil,1,0,Costa Rica, ,1,0,73,BRA,CRC
1990,16 Jun 1990 - 21:00,Group C,Luigi Ferraris,Sweden,1,2,Scotland, ,0,1,348,SWE,SCO
1990,16 Jun 1990 - 21:00,Group F,Sant Elia,England,0,0,Netherlands, ,0,0,160,ENG,NED
1990,17 Jun 1990 - 17:00,Group F,Della Favorita,"rn"">Republic of Ireland",0,0,Egypt, ,0,0,152,IRL,EGY
1990,17 Jun 1990 - 21:00,Group E,Dacia Arena,Korea Republic,1,3,Spain, ,1,1,175,KOR,ESP
1990,17 Jun 1990 - 21:00,Group E,Marc Antonio Bentegodi,Belgium,3,1,Uruguay, ,2,0,66,BEL,URU
1990,18 Jun 1990 - 21:00,Group B,San Paolo,Argentina,1,1,Romania, ,0,0,29,ARG,ROU
1990,18 Jun 1990 - 21:00,Group B,Stadio San Nicola,Cameroon,0,4,Soviet Union, ,0,2,111,CMR,URS
1990,19 Jun 1990 - 17:00,Group D,Giuseppe Meazza,Germany FR,1,1,Colombia, ,0,0,114,FRG,COL
1990,19 Jun 1990 - 17:00,Group D,Renato Dall Ara,Yugoslavia,4,1,"rn"">United Arab Emirates", ,2,1,364,YUG,UAE
1990,19 Jun 1990 - 21:00,Group A,Stadio Olimpico,Italy,2,0,Czechoslovakia, ,1,0,263,ITA,TCH
1990,19 Jun 1990 - 21:00,Group A,Comunale,Austria,2,1,USA, ,0,0,48,AUT,USA
1990,20 Jun 1990 - 21:00,Group C,Stadio delle Alpi,Brazil,1,0,Scotland, ,0,0,74,BRA,SCO
1990,20 Jun 1990 - 21:00,Group C,Luigi Ferraris,Sweden,1,2,Costa Rica, ,1,0,128,SWE,CRC
1990,21 Jun 1990 - 17:00,Group E,Friuli,Korea Republic,0,1,Uruguay, ,0,0,290,KOR,URU
1990,21 Jun 1990 - 17:00,Group E,Marc Antonio Bentegodi,Belgium,1,2,Spain, ,1,2,56,BEL,ESP
1990,21 Jun 1990 - 21:00,Group F,Della Favorita,"rn"">Republic of Ireland",1,1,Netherlands, ,0,1,228,IRL,NED
