Team Initials,Player Name
URU,AREVALO RIOS
BRA,ARGEMIRO
COL,ARIAS
NED,Arie DE WINTER
NED,Arie HAAN
NED,Arie SCHOEMAKER
BRA,ARIEL
ARG,Ariel ORTEGA
TUR,ARIF ERDEM
ITA,Aristide GUARNERI
COL,ARISTIZABAL
FRA,Armand PENVERNE
BRA,ARMANDINHO
ITA,Armando CASTELLAZZI
PAR,Armando GONZALEZ
MEX,Armando MANZO
ITA,Armando SEGATO
CHI,Armando TOBAR
ESP,Armando UFARTE
SUI,Arnaldo ORTELLI
NOR,Arne BRUSTAD
NOR,Arne ILEBY
SWE,Arne LINDERHOLM
SWE,Arne MANSSON
SWE,Arne NYBERG
SWE,Arne SELMONSSON
USA,Arnie OLIVER
BEL,Arnold BADJOU
AUT,Arnold WETL
COL,Arnoldo IGUARAN
TCH,Arnost KREUZ
NED,Aron WINTER
ECU,ARROYO
HAI,Arsene AUGUSTE
SCO,Arthur ALBISTON
NED,Arthur NUMAN
BEL,Artur CEULEERS
MEX,Arturo CHAIREZ
CHI,Arturo CODDOU
CHI,Arturo FARIAS
PER,Arturo FERNANDEZ
CHI,Arturo TORRES
MEX,Arturo VAZQUEZ
SWE,Arvid THOERN
SCO,Asa HARTFORD
GER,ASAMOAH
ECU,ASENCIO
EGY,Ashraf KASEM
BUL,Asparukh NIKODIMOV
COL,ASPRILLA
TOG,ASSEMOASSA
CMR,ASSOU EKOTTO
BUL,Atanas MIKHAILOV
BUL,Atanas PASHEV
URU,Atilio ANCHETA
CHI,Atilio CREMASCHI
ARG,Atilio DEMARIA
PAR,Atilio LOPEZ
TOG,ATSOU
GHA,ATSU
BRA,ATTILA
AUS,Attila ABONYI
HUN,Attila KEREKES
ITA,Attilio FERRARIS
ITA,Attilio GIOVANNINI
SUI,August LEHMANN
BEL,Auguste HELLEMANS
ARG,Augustin BALBUENA
FRA,Augustin CHANTREL
ROU,Augustin DELEANU
CMR,Augustine SIMO
BRA,AUGUSTO
ITA,Augusto MAGLI
PAR,Aurelio GONZALEZ
BIH,AVDUKI?
KSA,Awwad AL ANZI
PAR,AYALA
BUL,Ayan SADKOV
TUN,AYARI
NGA,AYILA
EGY,Ayman SHAWKY
EGY,Ayman TAHER
TUR,Aytac KADRI
MAR,Azeddine AMANALLAH
NGA,AZEEZ
TOG,AZIAWONOU
KSA,AZIZ
MAR,Aziz BOUDERBALA
EGY,Aziz FAHMY
CRC,AZOFEIFA R.
ESP,AZPILICUETA
MAR,AZZOUZI
KOR,B J KIM
KOR,B K KIM
CHN,B QU
KOR,B Y LEE
POR,B. ALVES
MEX,B. LUNA
IRN,B. SERAJ
CIV,B. WILFRIED
NGA,BABATUNDE
NGA,BABAYARO
NED,BABEL
CRO,BABIC
COL,BACCA
CRO,BADELJ
CRC,BADILLA G.
MAR,Badou ZAKI
TUN,BADRA
GER,BADSTUBER
GHA,BADU
PAR,BAEZ
ITA,BAGGIO D.
ITA,BAGGIO R.
ECU,BAGUI
IRN,Bahram MOVADAT
ENG,BAINES
POL,BAK
IRN,BAKHTIAR
CRO,BALABAN
BUL,BALAKOV
ARG,BALBO
USA,BALBOA
BRA,BALDOCHI
GER,BALLACK
ITA,BALOTELLI
BRA,BALTAZAR
CIV,BAMBA
POR,BANDEIRINHA
ECU,BANGUERA
NZL,BANNATYNE
ESP,BARAJA
BRA,BARBOSA
ENG,BARKLEY
SUI,BARNETTA
ITA,BARONE 
CZE,BAROS
CRC,BARRANTES M.
PAR,BARRETO
NZL,BARRON
CIV,BARRY
CIV,BARRY COPA
NZL,Barry PICKERING
TUR,Barsi DIRIMLILI
USA,Bart McGHEE
FRA,BARTHEZ
ITA,BARZAGLI
ITA,BARZAGLI 
NED,Bas PAAUWE
ARG,BASANTA
IRQ,Bassel GORGIS
CMR,BASSONG
SCG,BASTA
POL,BASZCZYNSKI
BRA,BATATAIS
BRA,BATISTA
ARG,BATISTUTA
URU,Baudilio JAUREGUI
BRA,BAUER
GER,BAUMANN
TUN,BAYA
USA,BEASLEY
AUS,BEAUCHAMP
CHI,BEAUSEJOUR
NED,Beb BAKHUYS
BRA,BEBETO
HON,BECKELES
USA,BECKERMAN
ENG,BECKHAM
DEN,BECKMANN
ENG,Bedford JEZZARD
CMR,BEDIMO
USA,BEDOYA
BIH,BEGOVI?
SUI,BEHRAMI
IRN,Behtash FARIBA
IRN,BEIKZADEH
IRN,BEITASHOUR
TUN,BEJAOUI
HUN,Bela BODONYI
HUN,Bela KARPATI
HUN,Bela KATZIRZ
HUN,Bela KUHARSZKI
YUG,Bela PALFI
HUN,Bela SAROSI
HUN,Bela VARADI
ALG,BELHADJ
UKR,BELIK
ALG,BELKALEM
ALG,BELLAID
BRA,BELLETTI
BRA,BELLINI
TUN,BEN ACHOUR
NGA,Ben IROHA
TUN,BEN SAADA
TUN,BEN SLIMANE
SUI,BENAGLIO
DEN,BENDTNER
BRA,BENEDICTO
BOL,Benedicto GODOY
SWE,Bengt BERNDTSSON
SWE,Bengt GUSTAVSSON
HON,BENGTSON
PAR,Benigno Gilberto PENAYO
BOL,Benigno GUTIERREZ
PAR,BENITEZ
CUB,Benito CARVAJALES
ITA,Benito LORENZI
MEX,Benjamin GALINDO
BOL,Benjamin MALDONADO
CMR,Benjamin MASSING
SWE,Benno MAGNUSSON
SWE,Benny WENDT
HUN,Beno KAPOSZTA
ALG,BENTALEB
POR,BENTO
BRA,BENVENUTTO
FRA,BENZEMA
KOR,BEOMSEOK
TUR,Beratligil ALI
NOR,BERG
NED,BERGKAMP
USA,BERHALTER
TUR,Berman AHMET
COL,BERMUDEZ
PAR,Bernabe RIVERA
MEX,BERNAL
BRA,BERNARD
FRA,Bernard BOSQUIER
FRA,Bernard CHIARELLI
FRA,Bernard DIOMEDE
FRA,Bernard GENGHINI
CRC,BERNARD K.
FRA,Bernard LACOMBE
FRA,Bernard LAMA
NIR,Bernard McNALLY
IRL,Bernard SLAVEN
BEL,Bernard VOORHOOF
YUG,Bernard VUKAS
HON,BERNARDEZ
COL,Bernardo REDIN
GDR,Bernd BRANSCH
FRG,Bernd CULLMANN
FRG,Bernd DIETZ
FRG,Bernd FOERSTER
FRG,Bernd FRANKE
FRG,Bernd HOELZENBEIN
AUT,Bernd KRAUSS
FRG,Bernd PATZKE
FRG,Berni KLODT
NED,Berry VAN AERLE
USA,Bert PATENAUDE
ENG,Bert WILLIAMS
FRG,Berti VOGTS
NIR,Bertie PEACOCK
CMR,Bertin EBWELLE
NZL,BERTOS
BEL,Bertrand CRASSON
NED,Bertus CALDENHOVE
NED,Bertus DE HARDER
RUS,BESCHASTNYKH
USA,BESLER
POR,BETO
SEN,BEYE
BIH,BE�I?
BIH,BI?AK?I?
GER,BIERHOFF
